user_id,mood,rank,title
0,mood_happy,1,Toy Story
0,mood_happy,2,The Replacements
0,mood_happy,3,Auntie Edna
0,mood_happy,4,Tokyo Mater
0,mood_happy,5,Darkwing Duck
0,mood_happy,6,Splash
0,mood_happy,7,The Emperor's New Groove
0,mood_happy,8,The Jungle Book
0,mood_happy,9,Once Upon a Mattress
0,mood_happy,10,Zenon: The Zequel
0,mood_happy,11,Three Little Pigs
0,mood_happy,12,Invisible Sister
0,mood_happy,13,Guardians of the Galaxy Vol. 2
0,mood_happy,14,"Monsters, Inc."
0,mood_happy,15,National Treasure: Book of Secrets
0,mood_happy,16,Lemonade Mouth
0,mood_happy,17,Motocrossed
0,mood_happy,18,Sister Act
0,mood_happy,19,Bears
0,mood_happy,20,The Black Cauldron
0,mood_happy,21,Finding Nemo
0,mood_happy,22,Shake It Up
0,mood_happy,23,Girl Vs. Monster
0,mood_happy,24,Camp Nowhere
0,mood_happy,25,Jessie
0,mood_happy,26,The Ghosts of Buxley Hall
0,mood_happy,27,Marvel Future Avengers
0,mood_happy,28,The Jungle Book 2
0,mood_happy,29,The Muppets
0,mood_happy,30,That Darn Cat!
0,mood_sad,1,Splash
0,mood_sad,2,Once Upon a Mattress
0,mood_sad,3,Lemonade Mouth
0,mood_sad,4,Casebusters
0,mood_sad,5,Davy Crockett and the River Pirates
0,mood_sad,6,The Cheetah Girls: One World
0,mood_sad,7,Violetta
0,mood_sad,8,Johnny Kapahala: Back on Board
0,mood_sad,9,Newsies
0,mood_sad,10,Homeward Bound II: Lost in San Francisco
0,mood_sad,11,Camp Rock 2: The Final Jam
0,mood_sad,12,Fun and Fancy Free
0,mood_sad,13,Wizards of Waverly Place: The Movie
0,mood_sad,14,You Wish!
0,mood_sad,15,Journey to the Center of the Earth
0,mood_sad,16,Jack
0,mood_sad,17,The Incredible Journey
0,mood_sad,18,The Last Song
0,mood_sad,19,Red Tails
0,mood_sad,20,Alley Cats Strike
0,mood_sad,21,A Goofy Movie
0,mood_sad,22,The Parent Trap
0,mood_sad,23,Candleshoe
0,mood_sad,24,The Straight Story
0,mood_sad,25,Z-O-M-B-I-E-S
0,mood_sad,26,Darby O'Gill and the Little People
0,mood_sad,27,Ratatouille
0,mood_sad,28,The Princess and the Frog
0,mood_sad,29,The Cheetah Girls
0,mood_sad,30,Tom and Huck
0,mood_bored,1,Toy Story
0,mood_bored,2,The Replacements
0,mood_bored,3,Auntie Edna
0,mood_bored,4,The Avengers
0,mood_bored,5,Tokyo Mater
0,mood_bored,6,Darkwing Duck
0,mood_bored,7,Captain America: Civil War
0,mood_bored,8,The Emperor's New Groove
0,mood_bored,9,The Jungle Book
0,mood_bored,10,Zenon: The Zequel
0,mood_bored,11,Pirates of the Caribbean: The Curse of the Black Pearl
0,mood_bored,12,Pirates of the Caribbean: At World's End
0,mood_bored,13,Invisible Sister
0,mood_bored,14,Guardians of the Galaxy Vol. 2
0,mood_bored,15,Thor
0,mood_bored,16,Star Wars: Episode V - The Empire Strikes Back
0,mood_bored,17,"Monsters, Inc."
